stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret
RELIANCE,STD_BOUNCE_LONG,21,7,0.3333333333333333,-0.00044037853147406626,-0.010937474475741005,-0.1160112016656426
RELIANCE,STD_BOUNCE_SHORT,16,7,0.4375,1.7808612650036296e-05,-0.0009025201932292282,-0.1160112016656426
RELIANCE,STD_BREAK_LONG,14,5,0.35714285714285715,0.0006877861819611443,0.00880223264879132,-0.1160112016656426
RELIANCE,FIB_BOUNCE_LONG,24,10,0.4166666666666667,-1.8128332612457176e-05,-0.0020704576113634854,-0.1160112016656426
RELIANCE,FIB_BOUNCE_SHORT,19,10,0.5263157894736842,-0.00013101909159758725,-0.004075784708691965,-0.1160112016656426
RELIANCE,CAM_L3_LONG,24,9,0.375,-0.00028519224985705006,-0.007370705198196825,-0.1160112016656426
RELIANCE,CAM_S3_SHORT,25,15,0.6,0.0029606044962462883,0.07601249233669338,-0.1160112016656426
RELIANCE,CAM_BREAK_LONG,13,4,0.3076923076923077,-0.001028097220380399,-0.013873037390413234,-0.1160112016656426
TCS,STD_BOUNCE_LONG,30,14,0.4666666666666667,-0.0026998147592439867,-0.08142519175526097,-0.1477803333194877
TCS,STD_BOUNCE_SHORT,20,14,0.7,-0.00011297294370462524,-0.004267405861828832,-0.1477803333194877
TCS,STD_BREAK_LONG,8,3,0.375,-0.012896571678340504,-0.10087096886212998,-0.1477803333194877
TCS,FIB_BOUNCE_LONG,32,15,0.46875,-0.0027899681524999158,-0.08833621119372825,-0.1477803333194877
TCS,FIB_BOUNCE_SHORT,20,13,0.65,-0.001367492731624092,-0.029027169764202165,-0.1477803333194877
TCS,CAM_L3_LONG,27,5,0.18518518518518517,-0.0022598519476408558,-0.059751672272867595,-0.1477803333194877
TCS,CAM_S3_SHORT,27,12,0.4444444444444444,-0.00011613533847449812,-0.00395253908147164,-0.1477803333194877
TCS,CAM_BREAK_LONG,9,3,0.3333333333333333,-0.01157922591906788,-0.101806476514401,-0.1477803333194877
HDFCBANK,STD_BOUNCE_LONG,14,6,0.42857142857142855,-0.0013775484367593651,-0.01948975235149053,-0.11163320477980698
HDFCBANK,STD_BOUNCE_SHORT,19,9,0.47368421052631576,-0.001968541603289508,-0.037917031825387415,-0.11163320477980698
HDFCBANK,STD_BREAK_LONG,14,4,0.2857142857142857,-0.006418870301330886,-0.08728546991916275,-0.11163320477980698
HDFCBANK,FIB_BOUNCE_LONG,16,7,0.4375,-0.00023635045709233206,-0.004661013489943633,-0.11163320477980698
HDFCBANK,FIB_BOUNCE_SHORT,24,15,0.625,0.0006149869838126959,0.013055396629211957,-0.11163320477980698
HDFCBANK,CAM_L3_LONG,16,4,0.25,-0.001298329590288742,-0.020969759420263245,-0.11163320477980698
HDFCBANK,CAM_S3_SHORT,25,9,0.36,-0.0004936021477878768,-0.012973832263539653,-0.11163320477980698
HDFCBANK,CAM_BREAK_LONG,12,4,0.3333333333333333,-0.005972186744105129,-0.0704230065993049,-0.11163320477980698
INFY,STD_BOUNCE_LONG,22,10,0.45454545454545453,-0.0004960436608560583,-0.012197804482752428,-0.12904939252614067
INFY,STD_BOUNCE_SHORT,17,6,0.35294117647058826,-0.0013179662225041428,-0.023061242239246216,-0.12904939252614067
INFY,STD_BREAK_LONG,17,11,0.6470588235294118,0.00771058845678713,0.1374022118925522,-0.12904939252614067
INFY,FIB_BOUNCE_LONG,25,13,0.52,0.0010904958577584848,0.026378519689107094,-0.12904939252614067
INFY,FIB_BOUNCE_SHORT,17,6,0.35294117647058826,-0.002961426104861739,-0.049841685769512534,-0.12904939252614067
INFY,CAM_L3_LONG,25,12,0.48,0.0015433745006382127,0.038455536087075304,-0.12904939252614067
INFY,CAM_S3_SHORT,21,9,0.42857142857142855,-0.0006451631041164469,-0.014248294652756455,-0.12904939252614067
INFY,CAM_BREAK_LONG,17,11,0.6470588235294118,0.00771058845678713,0.1374022118925522,-0.12904939252614067
ICICIBANK,STD_BOUNCE_LONG,24,11,0.4583333333333333,0.0011387466668898313,0.026015922504524003,0.011655212867264897
ICICIBANK,STD_BOUNCE_SHORT,21,7,0.3333333333333333,-0.004794449744413872,-0.09690188650524822,0.011655212867264897
ICICIBANK,STD_BREAK_LONG,17,8,0.47058823529411764,0.0028717549824732345,0.048488085060682806,0.011655212867264897
ICICIBANK,FIB_BOUNCE_LONG,20,8,0.4,-0.001850666474612389,-0.03791800620772423,0.011655212867264897
ICICIBANK,FIB_BOUNCE_SHORT,19,6,0.3157894736842105,-0.004700840929570449,-0.08645164018335527,0.011655212867264897
ICICIBANK,CAM_L3_LONG,20,5,0.25,-0.0012526219278210346,-0.025347344105072334,0.011655212867264897
ICICIBANK,CAM_S3_SHORT,27,8,0.2962962962962963,-0.0017178235949082122,-0.0461012937307782,0.011655212867264897
ICICIBANK,CAM_BREAK_LONG,13,5,0.38461538461538464,0.0017328136023852655,0.021457904175187004,0.011655212867264897
HINDUNILVR,STD_BOUNCE_LONG,28,11,0.39285714285714285,-0.0005812011621963627,-0.017328746317338606,-0.011437207937362248
HINDUNILVR,STD_BOUNCE_SHORT,23,12,0.5217391304347826,-0.00019929709699701095,-0.007283285734160594,-0.011437207937362248
HINDUNILVR,STD_BREAK_LONG,12,7,0.5833333333333334,0.0028098975848404872,0.03304107710736459,-0.011437207937362248
HINDUNILVR,FIB_BOUNCE_LONG,30,13,0.43333333333333335,-0.000874397032026623,-0.027348386762685806,-0.011437207937362248
HINDUNILVR,FIB_BOUNCE_SHORT,29,16,0.5517241379310345,0.0005194965877031893,0.011893252045482194,-0.011437207937362248
HINDUNILVR,CAM_L3_LONG,26,4,0.15384615384615385,-0.0036013544698041498,-0.09016302019779865,-0.011437207937362248
HINDUNILVR,CAM_S3_SHORT,29,8,0.27586206896551724,-0.001571820945798506,-0.04551580458945115,-0.011437207937362248
