stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret,edge_vs_bh
RELIANCE,STD_S1_BOUNCE_LONG,33,14,0.4242424242424242,-0.0005407723018168999,-0.018271845431564793,-0.0803636363636364,0.06209179093207161
RELIANCE,STD_R1_BOUNCE_SHORT,23,13,0.5652173913043478,0.0005081664127985001,0.011057233349200946,-0.0803636363636364,0.09142086971283735
RELIANCE,STD_R1_BREAKOUT_LONG,18,7,0.3888888888888889,-0.0011816124166418,-0.021404310684112637,-0.0803636363636364,0.058959325679523764
RELIANCE,STD_S1_BREAKDOWN_SHORT,30,15,0.5,-0.0015755980621373,-0.046716401567690635,-0.0803636363636364,0.033647234795945766
RELIANCE,FIB_S1_BOUNCE_LONG,41,23,0.5609756097560976,0.0013860752530254002,0.05768936983269235,-0.0803636363636364,0.13805300619632876
RELIANCE,FIB_R1_BOUNCE_SHORT,33,20,0.6060606060606061,0.002191421556802,0.07384855236552412,-0.0803636363636364,0.15421218872916054
RELIANCE,CAM_L3_LONG,40,19,0.475,0.00042964847707100014,0.016725060336234776,-0.0803636363636364,0.09708869669987118
RELIANCE,CAM_S3_SHORT,37,20,0.5405405405405406,0.0015107886504249,0.05641274241454508,-0.0803636363636364,0.1367763787781815
RELIANCE,CAM_R4_BREAKOUT_LONG,17,6,0.3529411764705882,-0.0012079019613984998,-0.0205863032697845,-0.0803636363636364,0.0597773330938519
RELIANCE,CAM_S4_BREAKDOWN_SHORT,26,15,0.5769230769230769,-0.0011034998482015,-0.02871630006333803,-0.0803636363636364,0.05164733630029837
TCS,STD_S1_BOUNCE_LONG,38,19,0.5,-0.0017254285397939999,-0.06549825221913008,-0.1554545454545455,0.08995629323541543
TCS,STD_R1_BOUNCE_SHORT,28,20,0.7142857142857143,0.0017764968233621,0.05003334591798625,-0.1554545454545455,0.20548789137253176
TCS,STD_R1_BREAKOUT_LONG,21,4,0.1904761904761904,-0.0071839050071932,-0.1408397600512944,-0.1554545454545455,0.014614785403251118
TCS,STD_S1_BREAKDOWN_SHORT,27,14,0.5185185185185185,0.0001446016607324001,0.00302123629116946,-0.1554545454545455,0.15847578174571497
TCS,FIB_S1_BOUNCE_LONG,43,17,0.3953488372093023,-0.0004417672602253999,-0.019604063877841194,-0.1554545454545455,0.13585048157670432
TCS,FIB_R1_BOUNCE_SHORT,33,18,0.5454545454545454,0.0009455047633437001,0.03116440825406741,-0.1554545454545455,0.18661895370861292
TCS,CAM_L3_LONG,42,15,0.3571428571428571,-0.0008826391338352999,-0.0373422457197643,-0.1554545454545455,0.11811229973478121
TCS,CAM_S3_SHORT,40,18,0.45,0.0007426036808055001,0.028869493037673388,-0.1554545454545455,0.1843240384922189
TCS,CAM_R4_BREAKOUT_LONG,19,3,0.1578947368421052,-0.0063368713872557995,-0.11409246999956568,-0.1554545454545455,0.04136207545497983
TCS,CAM_S4_BREAKDOWN_SHORT,26,11,0.4230769230769231,-0.0020035786036995,-0.05142525356451133,-0.1554545454545455,0.10402929189003418
HDFCBANK,STD_S1_BOUNCE_LONG,33,16,0.4848484848484848,0.0022653622206233,0.07440126826533389,-0.0966060606060607,0.17100732887139458
